date,cause,source,location,substance,volume,volume_units
7/6/2004,Operator Error,Gas Well,MEDICINE HAT,Frac Water,0.1,m3
9/11/2011,Equipment Failure,Drilling Well,Medicine Hat,Propane,0.1,103m3
7/5/2003,Equipment Failure,Compressor Station,MIDNAPORE,Gas Production (Marketable),0.1,103m3
12/16/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),6,103m3
6/11/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/23/2004,Equipment Failure,Water Pipeline,MEDICINE HAT,Salt/Produced Water,0.3,m3
4/2/2008,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,4.8,m3
9/15/2003,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
12/14/2010,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.3,m3
2/18/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
3/19/2004,Operator Error,Oil Well,MEDICINE HAT,Crude Oil,0.3,m3
7/19/2004,Operator Error,Crude Oil Group Battery,MEDICINE HAT,Salt/Produced Water,34.5,m3
11/30/2009,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,1.5,m3
9/7/2010,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,5,m3
12/14/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
12/1/2008,Equipment Failure,Unknown,Red Deer,Waste,0.1,m3
7/1/2008,Equipment Failure,Natural Gas Pipeline,Midnapore,Gas Production (Marketable),0.1,103m3
11/15/2006,Equipment Failure,Drilling Well,Midnapore,Drilling Mud (HC Based),2.3,m3
11/19/2007,Equipment Failure,Sour Gas Pipeline,Midnapore,Waste,0,m3
1/11/2006,Equipment Failure,Sour Gas Pipeline,Midnapore,Hydrotest Fluids (Methanol),1.5,m3
3/12/2008,Equipment Failure,Sour Gas Pipeline,Midnapore,Gas Production (Marketable),1.2,103m3
10/26/2003,Equipment Failure,Sour Gas Pipeline,MIDNAPORE,Chemicals,0.1,m3
10/25/2005,Equipment Failure,Gas Well,Midnapore,Gas Production (Raw),0.2,103m3
10/17/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.1,m3
11/26/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Fresh Water,0.1,m3
3/8/2003,Operator Error,Crude Oil Group Battery,MEDICINE HAT,Crude Oil,19,m3
8/22/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.5,m3
7/23/2004,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Crude Oil,3,m3
6/6/2006,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,0.1,m3
2/3/2005,Operator Error,Oil Well,Medicine Hat,Crude Oil,7,m3
2/9/2005,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,100,m3
5/21/2009,Operator Error,Unknown,Drayton Valley,Crude Oil,2,m3
9/30/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
11/30/2003,Equipment Failure,Crude Oil Group Battery,MEDICINE HAT,Crude Oil,0.1,m3
12/11/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.5,m3
5/26/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.1,m3
1/19/2007,Equipment Failure,Other Pipeline,Medicine Hat,Salt/Produced Water,0.1,m3
4/9/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,2,m3
5/22/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.1,m3
8/3/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,34,m3
3/26/2005,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,0.2,m3
2/18/2010,Equipment Failure,Oil Well,Medicine Hat,Waste,0,m3
5/5/2010,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,0.2,m3
3/7/2007,Operator Error,Unknown,Medicine Hat,Salt/Produced Water,3,m3
11/1/2004,Equipment Failure,Crude Oil Pipeline,Medicine Hat,Crude Oil,0.5,m3
5/20/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
5/21/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
6/19/2007,Equipment Failure,Water Pipeline,Medicine Hat,Crude Oil,0.2,m3
6/19/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
June 24 2011,Operator Error,,Drayton Valley,Salt/Produced Water,35,m3
5/15/2008,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,10,m3
3/1/2009,Operator Error,Crude Oil Group Battery,Medicine Hat,Crude Oil,0.2,m3
9/27/2009,Operator Error,Drilling Well,Medicine Hat,Salt/Produced Water,16,m3
6/25/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,68,m3
6/22/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
5/27/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,1,m3
5/14/2012,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
6/21/2012,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,0.4,m3
2/18/2007,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,20,m3
6/28/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.2,m3
8/31/2005,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,0.9,m3
3/6/2003,Equipment Failure,Oil Well,MEDICINE HAT,Crude Oil,14,m3
2/24/2004,Equipment Failure,Water Pipeline,MEDICINE HAT,Salt/Produced Water,12,m3
4/25/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.2,m3
7/6/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,1.5,m3
12/29/2012,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,40,m3
10/17/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Waste,0,m3
8/19/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.1,m3
9/8/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,0.9,m3
4/2/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
3/7/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Marketable),0.1,103m3
9/4/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Waste,0,m3
1/3/2012,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,75,m3
6/21/2005,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Marketable),0.1,103m3
October 19 2012,Operator Error,Natural Gas Pipeline,Midnapore,,,
4/22/2009,Equipment Failure,Sour Gas Pipeline,Midnapore,Salt/Produced Water,0.1,m3
11/25/2006,Equipment Failure,Natural Gas Pipeline,Midnapore,Gas Production (Raw),0.1,103m3
7/11/2005,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
2/19/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
3/13/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/20/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),3,103m3
5/14/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
5/26/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,2,m3
6/8/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/3/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
2/1/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
10/28/2006,Equipment Failure,Gas Well,Medicine Hat,Salt/Produced Water,3,m3
3/6/2005,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,50,m3
10/18/2011,Equipment Failure,Water Pipeline,Medicine Hat,Fresh Water,1,m3
2/25/2011,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,2.9,m3
11/30/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1.4,m3
11/25/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.1,m3
9/5/2003,Equipment Failure,Water Pipeline,MEDICINE HAT,Salt/Produced Water,0.2,m3
9/7/2003,Equipment Failure,Water Pipeline,MEDICINE HAT,Fresh Water,0.1,m3
12/24/2008,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,6,m3
5/23/2011,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,7.1,m3
6/24/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,0.4,m3
11/11/2004,Operator Error,Unknown,Drayton Valley,Condensate,0.1,m3
1/22/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
10/8/2004,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,1000,m3
7/23/2003,Equipment Failure,Service Well,MEDICINE HAT,Salt/Produced Water,75,m3
8/22/2009,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,2,m3
May 27 2010,Operator Error,Unknown,Drayton Valley,,,
10/15/2004,Operator Error,Multiphase Pipeline,Medicine Hat,Crude Oil,0.6,m3
1/3/2011,Equipment Failure,Water Pipeline,Medicine Hat,Fresh Water,0,m3
1/19/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,2.9,m3
November 23 2011,Operator Error,Gas Plnt Acid Gas Flr/Inj,Medicine Hat,,,
11/30/2006,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,2.9,m3
11/6/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.8,m3
November 02 2006,Equipment Failure,Compressor Station,Medicine Hat,,,
9/26/2011,Operator Error,Crude Oil Group Battery,Medicine Hat,Waste,0,m3
8/31/2010,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,30,m3
8/28/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),1,103m3
6/9/2004,Operator Error,Oil Well,MEDICINE HAT,Crude Oil,0.1,m3
1/30/2005,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,2,m3
8/27/2012,Equipment Failure,Water Pipeline,Medicine Hat,Fresh Water,2,m3
2/2/2011,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Salt/Produced Water,10,m3
11/7/2003,Equipment Failure,Other Injection/Disposal,MEDICINE HAT,Crude Oil,0.2,m3
8/17/2008,Equipment Failure,Service Well,Medicine Hat,Fresh Water,3.7,m3
1/21/2010,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,1.2,m3
November 08 2006,Operator Error,Crude Oil Group Battery,Medicine Hat,,,
7/16/2006,Equipment Failure,Gas Plant Sulphur Recover,Midnapore,Gas Production (Raw),0.1,103m3
4/6/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
8/11/2006,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
3/31/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
2/27/2007,Operator Error,Gas Well,Medicine Hat,Salt/Produced Water,0.1,m3
4/24/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),2,103m3
5/11/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
6/27/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
10/19/2011,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),8,103m3
5/25/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
9/7/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
5/2/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
10/29/2007,Operator Error,Gas Well,Medicine Hat,Process Water,0.3,m3
4/27/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Waste,0,m3
4/3/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),6,103m3
11/8/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.5,m3
3/17/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.3,m3
5/4/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/20/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Air,0.1,103m3
10/26/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
7/28/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
2/21/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.3,m3
11/28/2010,Operator Error,Suspended Well,Medicine Hat,Crude Oil,11.7,m3
4/3/2003,Operator Error,Oil Well,MEDICINE HAT,Crude Oil,3,m3
12/16/2010,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Salt/Produced Water,50,m3
2/13/2011,Operator Error,Crude Oil Group Battery,Medicine Hat,Salt/Produced Water,49,m3
8/28/2007,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,2,m3
11/12/2003,Operator Error,Oil Well,MEDICINE HAT,Crude Oil,5,m3
3/31/2011,Equipment Failure,Unknown,Drayton Valley,Gas Production (Raw),1,103m3
5/16/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
8/6/2005,Equipment Failure,Crude Oil Pipeline,Medicine Hat,Crude Oil,0.1,m3
2/28/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.1,m3
11/27/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.2,m3
6/23/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
2/12/2007,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,23,m3
10/2/2007,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,3.9,m3
5/11/2007,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,0.1,m3
7/31/2004,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,3,m3
7/29/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,1.2,m3
1/27/2011,Equipment Failure,Oil Well,Medicine Hat,Salt/Produced Water,0.1,m3
2/9/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,19.9,m3
4/8/2011,Equipment Failure,Suspended Well,Medicine Hat,Crude Oil,0.3,m3
2/13/2006,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,5.6,m3
7/26/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,1.2,m3
June 20 2006,Operator Error,Natural Gas Pipeline,Medicine Hat,,,
11/29/2006,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,1.9,m3
3/26/2010,Operator Error,Crude Oil Group Battery,Medicine Hat,Condensate,0.1,m3
2/28/2005,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,0.5,m3
12/24/2004,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,10,m3
3/2/2004,Equipment Failure,Unknown,WAINWRIGHT,Salt/Produced Water,2,m3
7/2/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Air,0.1,103m3
7/2/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Air,0.1,103m3
4/25/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
